INFO 2025-08-29 12:17:37,422 autoreload 13136 16856 Watching for file changes with StatReloader
INFO 2025-08-29 12:17:42,982 views 13136 2996 Запрос списка всех вопросов
INFO 2025-08-29 12:18:03,605 views 13136 17588 Запрос списка всех вопросов
INFO 2025-08-29 12:18:03,664 views 13136 4216 Получение вопроса с id=20
ERROR 2025-08-29 12:18:03,715 views 13136 4216 Ошибка при получении ответа от questions: Question matching query does not exist.
ERROR 2025-08-29 12:18:03,715 log 13136 4216 Internal Server Error: /api/v1/questions/20/
INFO 2025-08-29 12:18:03,718 views 13136 8808 Создание нового вопроса: {'text': 'Как дела?'}
INFO 2025-08-29 12:18:03,781 serializers 13136 8808 Создан новый вопрос: 1_Как дела?
WARNING 2025-08-29 12:18:03,833 views 13136 18900 Попытка удаления несуществующего вопроса id=20
WARNING 2025-08-29 12:18:03,834 log 13136 18900 Not Found: /api/v1/questions/20/
INFO 2025-08-29 12:18:07,182 views 13136 19840 Запрос списка всех вопросов
INFO 2025-08-29 12:18:07,339 views 13136 14160 Получение вопроса с id=20
ERROR 2025-08-29 12:18:07,388 views 13136 14160 Ошибка при получении ответа от questions: Question matching query does not exist.
ERROR 2025-08-29 12:18:07,388 log 13136 14160 Internal Server Error: /api/v1/questions/20/
INFO 2025-08-29 12:18:07,392 views 13136 10368 Создание нового вопроса: {'text': 'Как дела?'}
INFO 2025-08-29 12:18:07,442 serializers 13136 10368 Создан новый вопрос: 2_Как дела?
WARNING 2025-08-29 12:18:07,498 views 13136 18988 Попытка удаления несуществующего вопроса id=20
WARNING 2025-08-29 12:18:07,498 log 13136 18988 Not Found: /api/v1/questions/20/
INFO 2025-08-29 12:18:11,304 views 13136 19112 Запрос списка всех вопросов
INFO 2025-08-29 12:18:11,471 views 13136 17604 Получение вопроса с id=20
ERROR 2025-08-29 12:18:11,631 views 13136 17604 Ошибка при получении ответа от questions: Question matching query does not exist.
ERROR 2025-08-29 12:18:11,631 log 13136 17604 Internal Server Error: /api/v1/questions/20/
INFO 2025-08-29 12:18:11,634 views 13136 16640 Создание нового вопроса: {'text': 'Как дела?'}
INFO 2025-08-29 12:18:11,684 serializers 13136 16640 Создан новый вопрос: 3_Как дела?
WARNING 2025-08-29 12:18:11,740 views 13136 19156 Попытка удаления несуществующего вопроса id=20
WARNING 2025-08-29 12:18:11,740 log 13136 19156 Not Found: /api/v1/questions/20/
INFO 2025-08-29 12:22:42,536 views 4508 4820 Запрос списка всех вопросов
INFO 2025-08-29 12:22:42,543 views 4508 4820 Получение вопроса с id=2
INFO 2025-08-29 12:23:11,156 views 9040 6828 Запрос списка всех вопросов
INFO 2025-08-29 12:23:11,175 views 9040 6828 Получение вопроса с id=2
INFO 2025-08-29 12:30:15,228 autoreload 8840 14236 Watching for file changes with StatReloader
